,prolific_id,title,cond,item_idx,item_id,q_id,a_id,question,answer,rt,time,exp,a,yes,no,unclear,val,Unnamed: 0,iter
2668,601c2a9251c0bc6ca76c8d75,New Job,non_moral,61.0,62,0,0,"You have been offered employment by two different firms, and you are  trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm Bâ€™s offer in order to have two more days of vacation per year?",No,35173.0,2022-09-13 19:24:57,non_moral,No,False,True,False,no,,
2669,601c2a9251c0bc6ca76c8d75,New Job,non_moral,61.0,62,1,1,Why?,I would take the job with the higher salary as i could buy two more days of holiday and still get paid more.,35173.0,2022-09-13 19:24:57,non_moral,I would take the job with the higher salary as i could buy two more days of holiday and still get paid more.,na,na,na,na,,
2670,5f4a5983a08b215d74d2cd99,Standard Fumes,impersonal_moral,8.0,4,0,0,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospitalâ€™s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",No,59978.0,2022-09-13 19:25:22,impersonal_moral,No,False,True,False,no,,
2671,5f4a5983a08b215d74d2cd99,Standard Fumes,impersonal_moral,8.0,4,1,1,Why?,"This is similar to the train track dilemna, no I wouldn't hit the switch as in my mind I'd be active in the death of the single patient",59978.0,2022-09-13 19:25:22,impersonal_moral,"This is similar to the train track dilemna, no I wouldn't hit the switch as in my mind I'd be active in the death of the single patient",na,na,na,na,,
2672,57a48845eeaf6d00018d62d7,Country Road,personal_moral,45.0,23,0,0,"You are driving along a country road when you hear a plea for  help coming from some roadside bushes. You pull over and encounter a man whose legs are covered with blood. The man explains that he has had an accident while hiking and asks you to take him to a nearby hospital. Your initial inclination is to help this man, who will probably lose his leg if he does not get to the hospital soon. However, if you give this man a lift, his blood will ruin the leather upholstery of your car. Is it appropriate for you to leave this man by the side of the road in order to preserve your leather upholstery?",no,92923.0,2022-09-13 19:25:44,personal_moral,no,False,True,False,no,,
2673,57a48845eeaf6d00018d62d7,Country Road,personal_moral,45.0,23,1,1,Why?,that's dumb if you can help someone then help them. he'd probably be grateful and pay for new upholstery.,92923.0,2022-09-13 19:25:44,personal_moral,that's dumb if you can help someone then help them. he'd probably be grateful and pay for new upholstery.,na,na,na,na,,
2674,5bec8053b6b5ab00017c7349,Bomb 2,personal_moral,51.0,35,0,0,"You are negotiating with a powerful and determined terrorist who is about to  set off a bomb in a crowded area. Your one advantage is that you have his teenage son in your custody. There is only one thing that you can do to stop him from detonating his bomb, which will kill thousands of people if detonated. To stop him, you must contact him over the satellite hook-up that he has established and, in front of the camera, break one of his sonâ€™s arms and then threaten to break the other one if he does not give himself up. Is it appropriate for you to break the terroristâ€™s sonâ€™s arm in order to prevent the terrorist from killing thousands of people with his bomb?",Yes,137546.0,2022-09-13 19:25:49,personal_moral,Yes,True,False,False,yes,,
2675,5bec8053b6b5ab00017c7349,Bomb 2,personal_moral,51.0,35,1,1,Why?,This will probably make him more likely to detonate the bomb but if it is the only option to start negotiations then a broken arm is preferable to thousands dead,137546.0,2022-09-13 19:25:49,personal_moral,This will probably make him more likely to detonate the bomb but if it is the only option to start negotiations then a broken arm is preferable to thousands dead,na,na,na,na,,
2676,5bad4be8b712f30001b87947,Vitamins,personal_moral,42.0,40,0,0,"You are the leader of a mountaineering expedition that is stranded in the  wilderness. Your expedition includes a family of six that has a genetically caused vitamin deficiency. A few peopleâ€™s kidneys contain large amounts of this vitamin. There is one such person in your party. The only way to save the lives of the six members of this family is to remove one of this manâ€™s kidneys so that the necessary vitamins may be extracted from it. The man will not die if you do this, but his health will be compromised. The man is opposed to this plan, but you have the power to do as you see fit. Is it appropriate for you to forcibly remove this manâ€™s kidney in order to save the lives of the six vitamin-deficient people?",No it's not appropriate to remove his kidney. ,108219.0,2022-09-13 19:26:08,personal_moral,No it's not appropriate to remove his kidney. ,False,True,False,no,,
2677,5bad4be8b712f30001b87947,Vitamins,personal_moral,42.0,40,1,1,Why?,It's the man's kidney he is in charge of his body. If he doesn't want it removed he doesn't have to.,108219.0,2022-09-13 19:26:08,personal_moral,It's the man's kidney he is in charge of his body. If he doesn't want it removed he doesn't have to.,na,na,na,na,,
2678,5f3bdc715637da0bc38980ba,Taxes,impersonal_moral,43.0,15,1,1,Why?,It is dishonest financial gain for which others must pay.,98652.0,2022-09-13 19:26:09,impersonal_moral,It is dishonest financial gain for which others must pay.,na,na,na,na,,
2679,5f3bdc715637da0bc38980ba,Taxes,impersonal_moral,43.0,15,0,0,"You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?",No,98652.0,2022-09-13 19:26:09,impersonal_moral,No,False,True,False,no,,
2682,5f4a5983a08b215d74d2cd99,Survey,non_moral,9.0,50,0,0," A representative of a reputable, national survey organization calls you at your  home while you are having a quiet dinner by yourself. The representative explains that if you are willing to spend a half an hour answering questions about a variety of topics her organization will send you a check for $200. Would you interrupt your dinner in order to earn $200?",Yes,62100.0,2022-09-13 19:26:24,non_moral,Yes,True,False,False,yes,,
2683,5f4a5983a08b215d74d2cd99,Survey,non_moral,9.0,50,1,1,Why?,"The dinner is by myself, there is no one to offend. I could even eat whilst answering or just eat it later. $200 is a fine price to miss a meal.",62100.0,2022-09-13 19:26:25,non_moral,"The dinner is by myself, there is no one to offend. I could even eat whilst answering or just eat it later. $200 is a fine price to miss a meal.",na,na,na,na,,
2684,57a48845eeaf6d00018d62d7,Investment Offer,non_moral,46.0,54,0,0,"You are at home one day when the mail arrives. You receive a  letter from a reputable corporation that provides financial services. They have invited you to invest in a mutual fund, beginning with an initial investment of one thousand dollars. As it happens, you are familiar with this particular mutual fund. It has not performed very well over the past few years, and, based on what you know, there is no reason to think that it will perform any better in the future. Would you invest a thousand dollars in this mutual fund in order to make money?",no,72266.0,2022-09-13 19:26:56,non_moral,no,False,True,False,no,,
2685,57a48845eeaf6d00018d62d7,Investment Offer,non_moral,46.0,54,1,1,Why?,probably wouldnt be worth it unless i had insider knowledge,72266.0,2022-09-13 19:26:56,non_moral,probably wouldnt be worth it unless i had insider knowledge,na,na,na,na,,
2686,5f3bdc715637da0bc38980ba,Illegal Lunch,impersonal_moral,44.0,19,0,0,"You are a lawyer working on a big case. The judge presiding over  the trial happens to be someone you knew from law school. The two of you were rather friendly back then, but now, decades later, it seems that your old friend barely remembers you. Youâ€™re quite sure that if you were to talk to him over lunch, you could jog his memory and he would begin to see you as an old buddy, which would be very good for your work on this case. Itâ€™s illegal for judges and lawyers working on the same case to meet socially. Is it appropriate for you to meet with this judge socially in order to help you win your case?",No,65279.0,2022-09-13 19:27:14,impersonal_moral,No,False,True,False,no,,
2687,5f3bdc715637da0bc38980ba,Illegal Lunch,impersonal_moral,44.0,19,1,1,Why?,It could cause a miscarriage of justice.,65279.0,2022-09-13 19:27:14,impersonal_moral,It could cause a miscarriage of justice.,na,na,na,na,,
2688,5bad4be8b712f30001b87947,Sacrifice,personal_moral,43.0,39,0,0,"You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clanâ€™s sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?",No,75979.0,2022-09-13 19:27:25,personal_moral,No,False,True,False,no,,
2689,5bad4be8b712f30001b87947,Sacrifice,personal_moral,43.0,39,1,1,Why?,I would not kill my oldest child. I would put up a fight or let the leader kill me over my child. ,75979.0,2022-09-13 19:27:25,personal_moral,I would not kill my oldest child. I would put up a fight or let the leader kill me over my child. ,na,na,na,na,,
2690,5f4a5983a08b215d74d2cd99,Stock Tip,impersonal_moral,10.0,18,0,0,"You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?",No,80062.0,2022-09-13 19:27:44,impersonal_moral,No,False,True,False,no,,
2691,5f4a5983a08b215d74d2cd99,Stock Tip,impersonal_moral,10.0,18,1,1,Why?,Because it's against the law. I'd risk going to prison to pay of a debt. I wouldn't commit a crime for the sake of money.,80062.0,2022-09-13 19:27:44,impersonal_moral,Because it's against the law. I'd risk going to prison to pay of a debt. I wouldn't commit a crime for the sake of money.,na,na,na,na,,
2692,5f3bdc715637da0bc38980ba,Environmental Policy B1,impersonal_moral,45.0,16,1,1,Why?,The increased to risk to unecessary deaths appears too great.,75975.0,2022-09-13 19:28:30,impersonal_moral,The increased to risk to unecessary deaths appears too great.,na,na,na,na,,
2693,5f3bdc715637da0bc38980ba,Environmental Policy B1,impersonal_moral,45.0,16,0,0,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A?",No,75975.0,2022-09-13 19:28:30,impersonal_moral,No,False,True,False,no,,
2696,5bad4be8b712f30001b87947,Lawrence of Arabia,personal_moral,44.0,37,0,0,"You are the leader of a small army that consists of warriors from  two tribes, the hill tribe and the river tribe. You belong to neither tribe. During the night a hill tribesman got into an argument with a river tribesman and murdered him. The river tribe will attack the hill tribe unless the murderer is put to death, but the hill tribe refuses to kill one of its own warriors. The only way for you to avoid a war between the two tribes that will costs hundreds of lives is to publicly execute the murderer by cutting off is head with your sword. Is it appropriate for you to cut off this manâ€™s head in order to prevent the two tribes from fighting a war that will cost hundreds of lives?",No,117177.0,2022-09-13 19:29:22,personal_moral,No,False,True,False,no,,
2697,5bad4be8b712f30001b87947,Lawrence of Arabia,personal_moral,44.0,37,1,1,Why?,I don't belong to any tribes. If the hill tribe is willing to go into a war with the river tribe that is up to them. ,117177.0,2022-09-13 19:29:22,personal_moral,I don't belong to any tribes. If the hill tribe is willing to go into a war with the river tribe that is up to them. ,na,na,na,na,,
2698,5f3bdc715637da0bc38980ba,Submarine,personal_moral,46.0,36,0,0,You are the captain of a military submarine travelling underneath a large iceberg.  An onboard explosion has caused you to lose most of your oxygen supply and has injured one of your crew who is quickly losing blood. The injured crew member is going to die from his wounds no matter what happens. The remaining oxygen is not sufficient for the entire crew to make it to the surface. The only way to save the other crew members is to shoot dead the injured crew member so that there will be just enough oxygen for the rest of the crew to survive. Is it appropriate for you to kill the fatally injured crew member in order to save the lives of the remaining crew members?,Yes,51940.0,2022-09-13 19:29:22,personal_moral,Yes,True,False,False,yes,,
2699,5f3bdc715637da0bc38980ba,Submarine,personal_moral,46.0,36,1,1,Why?,It would prevent unnecessary deaths and the victim would die anyway.,51940.0,2022-09-13 19:29:22,personal_moral,It would prevent unnecessary deaths and the victim would die anyway.,na,na,na,na,,
2700,5f4a5983a08b215d74d2cd99,Five-for-Seven Trolley,impersonal_moral,12.0,12,0,0,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",No,45454.0,2022-09-13 19:30:06,impersonal_moral,No,False,True,False,no,,
2701,5f4a5983a08b215d74d2cd99,Five-for-Seven Trolley,impersonal_moral,12.0,12,1,1,Why?,I'd be actively responsible for the deaths of the workmen.,45454.0,2022-09-13 19:30:06,impersonal_moral,I'd be actively responsible for the deaths of the workmen.,na,na,na,na,,
2702,5f3bdc715637da0bc38980ba,Jogging,non_moral,47.0,58,1,1,Why?,Jogging now would give me increased overall enjoyment.,69187.0,2022-09-13 19:30:32,non_moral,Jogging now would give me increased overall enjoyment.,na,na,na,na,,
2703,5f3bdc715637da0bc38980ba,Jogging,non_moral,47.0,58,0,0,"You intend to accomplish two things this afternoon: going for a jog and  doing some paperwork. In general you prefer to get your work done before you exercise. The weather is nice at the moment, but the weather forecast says that in a couple of hours it will start to rain. You very much dislike jogging in the rain, but you donâ€™t care what the weather is like while you do paperwork. Would you do your paperwork now with the intention of jogging in a couple of hours in order to get your work done before you exercise?",No,69187.0,2022-09-13 19:30:32,non_moral,No,False,True,False,no,,
2704,5bad4be8b712f30001b87947,Survey,non_moral,45.0,50,0,0," A representative of a reputable, national survey organization calls you at your  home while you are having a quiet dinner by yourself. The representative explains that if you are willing to spend a half an hour answering questions about a variety of topics her organization will send you a check for $200. Would you interrupt your dinner in order to earn $200?",Yes I would.,69596.0,2022-09-13 19:30:32,non_moral,Yes I would.,True,False,False,yes,,
2705,5bad4be8b712f30001b87947,Survey,non_moral,45.0,50,1,1,Why?,I'm eating dinner a lone and it's $200 just for answering som equestions. ,69596.0,2022-09-13 19:30:32,non_moral,I'm eating dinner a lone and it's $200 just for answering som equestions. ,na,na,na,na,,
2706,5f4a5983a08b215d74d2cd99,Broken VCR,non_moral,13.0,55,0,0,You have brought your broken VCR to the local repair shop. The woman  working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCRâ€™s and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one?,No,35744.0,2022-09-13 19:30:42,non_moral,No,False,True,False,no,,
2707,5f4a5983a08b215d74d2cd99,Broken VCR,non_moral,13.0,55,1,1,Why?,If I can upgrade my VCR for the same price then I would certainly do that.,35744.0,2022-09-13 19:30:42,non_moral,If I can upgrade my VCR for the same price then I would certainly do that.,na,na,na,na,,
2708,5f3bdc715637da0bc38980ba,Hired Rapist,personal_moral,48.0,29,1,1,Why?,It causes unnecessary suffering and pain for somewhat trivial reasons. ,49714.0,2022-09-13 19:31:22,personal_moral,It causes unnecessary suffering and pain for somewhat trivial reasons. ,na,na,na,na,,
2709,5f3bdc715637da0bc38980ba,Hired Rapist,personal_moral,48.0,29,0,0,"You have been dissatisfied with your marriage for several years. It is your  distinct impression that your partner no longer appreciates you. You remember how they appreciated you years ago when you took care of them after they was mugged. You devise the following plan to regain your partnerâ€™s affection. You will hire a person to break into your house while you are away. This person will tie up and sexually assault your partner. You, upon hearing the horrible news, will return swiftly to their side, to take care of them and comfort them, and they will once again appreciate you. Is it appropriate for you to hire a person to sexually assault your partner so that they will appreciate you as you comfort them?",No,49714.0,2022-09-13 19:31:22,personal_moral,No,False,True,False,no,,
2710,5f4a5983a08b215d74d2cd99,Train or Bus,non_moral,14.0,48,1,1,Why?,"I wouldn't want to risk being late, and to be honest I wouldn't care about the hour beforehand anyay.",54404.0,2022-09-13 19:31:37,non_moral,"I wouldn't want to risk being late, and to be honest I wouldn't care about the hour beforehand anyay.",na,na,na,na,,
2711,5f4a5983a08b215d74d2cd99,Train or Bus,non_moral,14.0,48,0,0,"You need to travel from New York to Boston in order to attend  a meeting that starts at 2:00 PM. You can take either the train or the bus. The train will get you there just in time for your meeting no matter what. The bus is scheduled to arrive an hour before your meeting, but the bus is occasionally several hours late because of traffic. It would be nice to have an extra hour before the meeting, but you cannot afford to be late. Would you take the train instead of the bus in order to ensure your not being late for your meeting?",Yes,54404.0,2022-09-13 19:31:37,non_moral,Yes,True,False,False,yes,,
2712,5bec8053b6b5ab00017c7349,Resume,impersonal_moral,52.0,14,0,0,"You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?",yes,372441.0,2022-09-13 19:32:01,impersonal_moral,yes,True,False,False,yes,,
2713,5bec8053b6b5ab00017c7349,Resume,impersonal_moral,52.0,14,1,1,Why?,"If lying helps him get the job, and having a job is a good thing, and he isn't fired for incompetence, then the way he gets the job is largely irrelevant",372441.0,2022-09-13 19:32:01,impersonal_moral,"If lying helps him get the job, and having a job is a good thing, and he isn't fired for incompetence, then the way he gets the job is largely irrelevant",na,na,na,na,,
2716,5f3bdc715637da0bc38980ba,Reversed Turnips,non_moral,49.0,53,0,0,You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty?,No,50250.0,2022-09-13 19:32:12,non_moral,No,False,True,False,no,,
2717,5f3bdc715637da0bc38980ba,Reversed Turnips,non_moral,49.0,53,1,1,Why?,It would decrease the amount of turnips harvested.,50250.0,2022-09-13 19:32:12,non_moral,It would decrease the amount of turnips harvested.,na,na,na,na,,
2718,5bad4be8b712f30001b87947,Taxes,impersonal_moral,46.0,15,1,1,Why?,It's wrong to lie I can simply make changes like not buying the stereo and not eating out for dinner with my wife. ,110230.0,2022-09-13 19:32:22,impersonal_moral,It's wrong to lie I can simply make changes like not buying the stereo and not eating out for dinner with my wife. ,na,na,na,na,,
2719,5bad4be8b712f30001b87947,Taxes,impersonal_moral,46.0,15,0,0,"You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?",It's not appropriate. ,110230.0,2022-09-13 19:32:22,impersonal_moral,It's not appropriate. ,False,False,True,unclear,,
2720,57a48845eeaf6d00018d62d7,Errands,non_moral,47.0,61,0,0,"You need to go to the bakery in the morning and the furniture  store in the afternoon. You also need to go to the camera shop at some point. You prefer to do most of your errands in the morning, but you very much dislike doing unnecessary driving. The camera shop is near the furniture store and far from the bakery. As a result you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store. Is it appropriate for you to go to the camera shop in the morning in order to do most of your errands in the morning?",yes,333211.0,2022-09-13 19:32:30,non_moral,yes,True,False,False,yes,,
2721,57a48845eeaf6d00018d62d7,Errands,non_moral,47.0,61,1,1,Why?,not a big deal just do what you prefer,333211.0,2022-09-13 19:32:30,non_moral,not a big deal just do what you prefer,na,na,na,na,,
2722,57a48845eeaf6d00018d62d7,Survey,non_moral,48.0,50,0,0," A representative of a reputable, national survey organization calls you at your  home while you are having a quiet dinner by yourself. The representative explains that if you are willing to spend a half an hour answering questions about a variety of topics her organization will send you a check for $200. Would you interrupt your dinner in order to earn $200?",yes,18136.0,2022-09-13 19:32:48,non_moral,yes,True,False,False,yes,,
2723,57a48845eeaf6d00018d62d7,Survey,non_moral,48.0,50,1,1,Why?,i'd do it for 200 dollars.,18136.0,2022-09-13 19:32:48,non_moral,i'd do it for 200 dollars.,na,na,na,na,,
2724,5f4a5983a08b215d74d2cd99,Donation,impersonal_moral,15.0,5,1,1,Why?,"Either answer if fine, in my personal circumstances I couldn't afford 200 hundred dollars, I would donate a smaller amount if I could afford it ",88683.0,2022-09-13 19:33:06,impersonal_moral,"Either answer if fine, in my personal circumstances I couldn't afford 200 hundred dollars, I would donate a smaller amount if I could afford it ",na,na,na,na,,
2725,5f4a5983a08b215d74d2cd99,Donation,impersonal_moral,15.0,5,0,0,You are at home one day when the mail arrives. You receive a  letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization. The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Is it appropriate for you to not make a donation to this organization in order to save money?,Yes,88683.0,2022-09-13 19:33:06,impersonal_moral,Yes,True,False,False,yes,,
2726,57a48845eeaf6d00018d62d7,Generic Brand,non_moral,49.0,46,1,1,Why?,I trust him like it says and generic is generally the same,28544.0,2022-09-13 19:33:17,non_moral,I trust him like it says and generic is generally the same,na,na,na,na,,
2727,57a48845eeaf6d00018d62d7,Generic Brand,non_moral,49.0,46,0,0,"You have a headache. You go to the pharmacy with the intention of  buying a particular name-brand headache medicine. When you get there you discover that the pharmacy is out of the brand you were looking for. The pharmacist, whom youâ€™ve known for a long time and in whom you have a great deal of trust, tells you that he has in stock a generic product which is, in his words, â€œexactly the sameâ€ as the product you had originally intended to buy. Would you purchase the generic brand instead of searching further for the name-brand product you were looking for?",yes,28544.0,2022-09-13 19:33:17,non_moral,yes,True,False,False,yes,,
2728,5bec8053b6b5ab00017c7349,Standard Trolley,impersonal_moral,53.0,3,1,1,Why?,Intervening to save five lives and lose one is a better outcome than losing five,101720.0,2022-09-13 19:33:43,impersonal_moral,Intervening to save five lives and lose one is a better outcome than losing five,na,na,na,na,,
2729,5bec8053b6b5ab00017c7349,Standard Trolley,impersonal_moral,53.0,3,0,0,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",Yes,101720.0,2022-09-13 19:33:43,impersonal_moral,Yes,True,False,False,yes,,
2730,57a48845eeaf6d00018d62d7,Five-for-Seven Trolley,impersonal_moral,50.0,12,1,1,Why?, more people die if you dont,38340.0,2022-09-13 19:33:55,impersonal_moral, more people die if you dont,na,na,na,na,,
2731,57a48845eeaf6d00018d62d7,Five-for-Seven Trolley,impersonal_moral,50.0,12,0,0,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",no,38340.0,2022-09-13 19:33:55,impersonal_moral,no,False,True,False,no,,
2732,5f4a5983a08b215d74d2cd99,Scheduling,non_moral,16.0,45,1,1,Why?,It would be inconsiderate and unprofessional to do otherwise ,54629.0,2022-09-13 19:34:01,non_moral,It would be inconsiderate and unprofessional to do otherwise ,na,na,na,na,,
2733,5f4a5983a08b215d74d2cd99,Scheduling,non_moral,16.0,45,0,0,"You are in charge of scheduling appointments in a dentistâ€™s office. Two people,  Mr. Morris and Mrs. Santiago have called to make appointments for next Monday. The only available times for next Monday are at 10:00 AM and at 3:00 PM. Mr. Morrisâ€™s schedule is rather flexible. He can have his appointment either at 10:00 AM or at 3:00 PM. Mrs. Santiagoâ€™s schedule is less flexible. She can only have her appointment at 10:00 AM. Would you schedule Mr. Morris for 3:00 PM so that both he and Mrs. Santiago can have their appointments next Monday?",Yes,54629.0,2022-09-13 19:34:01,non_moral,Yes,True,False,False,yes,,
2734,5bad4be8b712f30001b87947,Ecologists,personal_moral,47.0,34,0,0,"You are part of a group of ecologists who live in a remote  stretch of jungle. The entire group, which includes eight children, has been taken hostage by a group of paramilitary terrorists. One of the terrorists takes a liking to you. He informs you that his leader intends to kill you and the rest of the hostages the following morning. He is willing to help you and the children escape, but as an act of good faith he wants you to kill one of your fellow hostages whom he does not like. If you refuse his offer all the hostages including the children and yourself will die. If you accept his offer then the others will die in the morning but you and the eight children will escape. Is it appropriate for you to kill one of your fellow hostages in order to escape from the terrorists and save the lives of the eight children?",Yes in this case it's appropriate. ,104284.0,2022-09-13 19:34:07,personal_moral,Yes in this case it's appropriate. ,True,False,False,yes,,
2735,5bad4be8b712f30001b87947,Ecologists,personal_moral,47.0,34,1,1,Why?,I could save eight children. The hostages would probably agree to save the children as well.,104284.0,2022-09-13 19:34:07,personal_moral,I could save eight children. The hostages would probably agree to save the children as well.,na,na,na,na,,
2736,5f3bdc715637da0bc38980ba,Vaccine Test,personal_moral,50.0,41,1,1,Why?,The killing of one person to save millions appears to be justifiable in this case.,125148.0,2022-09-13 19:34:17,personal_moral,The killing of one person to save millions appears to be justifiable in this case.,na,na,na,na,,
2737,5f3bdc715637da0bc38980ba,Vaccine Test,personal_moral,50.0,41,0,0,"A viral epidemic has spread across the globe killing millions of people. You  have developed two substances in your home laboratory. You know that one of them is a vaccine, but you donâ€™t know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives?",Yes,125148.0,2022-09-13 19:34:17,personal_moral,Yes,True,False,False,yes,,
2738,57a48845eeaf6d00018d62d7,Three-for-Seven Fumes,impersonal_moral,51.0,13,1,1,Why?, more people will die inhstead of just 3,39154.0,2022-09-13 19:34:35,impersonal_moral, more people will die inhstead of just 3,na,na,na,na,,
2739,57a48845eeaf6d00018d62d7,Three-for-Seven Fumes,impersonal_moral,51.0,13,0,0,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospitalâ€™s ventilation system. In a certain room of the hospital are three patients. In another room there are seven patients. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to save these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three people. As a result of doing this the fumes will enter the room containing the seven patients, causing their deaths. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",no,39154.0,2022-09-13 19:34:35,impersonal_moral,no,False,True,False,no,,
2742,57a48845eeaf6d00018d62d7,Infanticide,personal_moral,52.0,31,1,1,Why?,you had plenty of options before it got to that point,31691.0,2022-09-13 19:35:07,personal_moral,you had plenty of options before it got to that point,na,na,na,na,,
2743,57a48845eeaf6d00018d62d7,Infanticide,personal_moral,52.0,31,0,0,"You are a fifteen year-old girl who has become pregnant. By wearing loose  clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess youâ€™ve made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life?",no,31691.0,2022-09-13 19:35:07,personal_moral,no,False,True,False,no,,
2744,5f4a5983a08b215d74d2cd99,Investment Offer,non_moral,17.0,54,0,0,"You are at home one day when the mail arrives. You receive a  letter from a reputable corporation that provides financial services. They have invited you to invest in a mutual fund, beginning with an initial investment of one thousand dollars. As it happens, you are familiar with this particular mutual fund. It has not performed very well over the past few years, and, based on what you know, there is no reason to think that it will perform any better in the future. Would you invest a thousand dollars in this mutual fund in order to make money?",No,67662.0,2022-09-13 19:35:09,non_moral,No,False,True,False,no,,
